RCDTS,Type,School_Name,District,School_Type,PERC_ELA_Proficiency,NR_ELA_Proficiency,PERC_Math_Proficiency,NR_Math_Proficiency
010010010262002,School,Seymour Elementary School,Payson CUSD 1,ELEMENTARY,25.7,44.0,19.4,33.0
010010020262002,School,Liberty Elementary School,Liberty CUSD 2,ELEMENTARY,45.2,71.0,37.6,59.0
010010030262003,School,Central Elementary Grade School,Central CUSD 3,ELEMENTARY,,,,
010010030262008,School,Central 3-4 Middle School,Central CUSD 3,ELEMENTARY,20.3,25.0,29.3,36.0
010010040262006,School,Unity Elementary School,CUSD 4,ELEMENTARY,12.7,7.0,27.3,15.0
010010040262007,School,Unity Middle School,CUSD 4,ELEMENTARY,34.8,87.0,21.2,53.0
010011720222004,School,Sarah Atwater Denman Elementary School,Quincy SD 172,ELEMENTARY,25.1,69.0,31.3,86.0
010011720222006,School,Colonel George Iles Elementary School,Quincy SD 172,ELEMENTARY,30.8,91.0,28.2,83.0
010011720222007,School,Thomas S Baldwin Elementary School,Quincy SD 172,ELEMENTARY,,,,
010011720222008,School,Sarah Atwater Denman Elementary Site 1,Quincy SD 172,ELEMENTARY,,,,
010011720222009,School,Thomas S Baldwin Elementary School,Quincy SD 172,ELEMENTARY,25.2,70.0,30.8,85.0
010011720222016,School,Lincoln-Douglas Elementary School,Quincy SD 172,ELEMENTARY,32.9,97.0,37.3,110.0
010011720222017,School,Dr. Abby Fox Rooney Elementary School,Quincy SD 172,ELEMENTARY,26.8,66.0,27.6,68.0
010050010262002,School,Brown County Elementary School,Brown County CUSD 1,ELEMENTARY,34.7,34.0,27.6,27.0
010090150262003,School,Gard Elementary School,Beardstown CUSD 15,ELEMENTARY,7.9,15.0,15.2,29.0
010090640262001,School,Virginia Elem School,Virginia CUSD 64,ELEMENTARY,44.3,27.0,45.9,28.0
010092620262001,School,A-C Central Elementary School,A-C Central CUSD 262,ELEMENTARY,35.3,18.0,29.4,15.0
010690010262005,School,Franklin East Grade School,Franklin CUSD 1,ELEMENTARY,,,,
010690060262002,School,Waverly Elementary School,Waverly CUSD 6,ELEMENTARY,30.3,27.0,28.1,25.0
010690110262003,School,Meredosia-Chambersburg Elem Sch,Meredosia-Chambersburg CUSD 11,ELEMENTARY,17.0,8.0,8.5,4.0
010690270262002,School,Triopia Grade School,Triopia CUSD 27,ELEMENTARY,39.1,43.0,49.1,54.0
010691170222001,School,Eisenhower Elem School,Jacksonville SD 117,ELEMENTARY,44.4,67.0,34.4,52.0
010691170222005,School,Washington Elem School,Jacksonville SD 117,ELEMENTARY,23.3,34.0,22.8,33.0
010691170222006,School,Lincoln Elem School,Jacksonville SD 117,ELEMENTARY,20.0,27.0,17.8,24.0
010691170222007,School,South Jacksonville Elem School,Jacksonville SD 117,ELEMENTARY,22.8,37.0,24.2,39.0
010691170222008,School,North Jacksonville School,Jacksonville SD 117,ELEMENTARY,33.9,20.0,27.1,16.0
010691170222009,School,Murrayville-Woodson Elem School,Jacksonville SD 117,ELEMENTARY,37.5,27.0,27.8,20.0
010750030262001,School,Pleasant Hill Elem School,Pleasant Hill CUSD 3,ELEMENTARY,15.4,23.0,7.4,11.0
010750040262001,School,Griggsville-Perry Primary School,Griggsville-Perry CUSD 4,ELEMENTARY,25.5,13.0,35.3,18.0
010750100262007,School,Pittsfield South Elem School,Pikeland CUSD 10,ELEMENTARY,,,,
010750100262010,School,Pikeland Community School,Pikeland CUSD 10,ELEMENTARY,34.1,191.0,12.1,68.0
010750120262001,School,Western Barry Elem,Western CUSD 12,ELEMENTARY,25.4,31.0,22.1,27.0
010860010262002,School,Winchester Elem School,Winchester CUSD 1,ELEMENTARY,35.4,93.0,30.8,81.0
010860020262001,School,Bluffs Elementary School,Scott-Morgan CUSD 2,ELEMENTARY,29.8,14.0,36.2,17.0
030030010262001,School,Mulberry Grove Elem School,Mulberry Grove CUSD 1,ELEMENTARY,21.1,19.0,20.7,19.0
030030020262003,School,Greenville Elem School,Bond County CUSD 2,ELEMENTARY,38.5,107.0,38.5,107.0
030030020262004,School,Pocahontas Center,Bond County CUSD 2,ELEMENTARY,52.9,74.0,40.7,57.0
030030020262005,School,Sorento Elem School,Bond County CUSD 2,ELEMENTARY,39.8,33.0,33.7,28.0
030110010262001,School,Morrisonville Elem School,Morrisonville CUSD 1,ELEMENTARY,22.7,17.0,16.0,12.0
030110030262001,School,Memorial Elem School,Taylorville CUSD 3,ELEMENTARY,28.5,88.0,23.9,74.0
030110030262003,School,North Elem School,Taylorville CUSD 3,ELEMENTARY,,,,
030110030262005,School,Stonington Elem School,Taylorville CUSD 3,ELEMENTARY,,,,
030110040262001,School,Edinburg Elem School,Edinburg CUSD 4,ELEMENTARY,14.5,9.0,12.9,8.0
030110080262001,School,Lincoln Elem School,Pana CUSD 8,ELEMENTARY,36.9,104.0,33.7,95.0
030110080262003,School,Washington Elem School,Pana CUSD 8,ELEMENTARY,,,,
030110140242001,School,South Fork Elementary School,South Fork SD 14,ELEMENTARY,22.7,17.0,20.0,15.0
030250100262002,School,Altamont Grade School,Altamont CUSD 10,ELEMENTARY,30.6,85.0,20.8,58.0
030250200262003,School,Beecher City Grade School,Beecher City CUSD 20,ELEMENTARY,44.9,31.0,76.8,53.0
030250300262002,School,Dieterich Elem School,Dieterich CUSD 30,ELEMENTARY,69.5,130.0,57.2,107.0
030250400262002,School,Central Grade School,Effingham CUSD 40,ELEMENTARY,34.1,197.0,19.1,110.0
030250400262006,School,Early Learning Center,Effingham CUSD 40,ELEMENTARY,,,,
030250400262008,School,South Side Grade School,Effingham CUSD 40,ELEMENTARY,,,,
030250500262002,School,Teutopolis Grade School,Teutopolis CUSD 50,ELEMENTARY,68.2,210.0,67.9,209.0
030262010262001,School,Brownstown Elem School,Brownstown CUSD 201,ELEMENTARY,30.0,36.0,20.8,25.0
030262020262001,School,St Elmo Elem School,St Elmo CUSD 202,ELEMENTARY,31.0,39.0,28.6,36.0
030262030262008,School,Vandalia Elementary School,Vandalia CUSD 203,ELEMENTARY,28.7,29.0,44.6,45.0
030262030262009,School,Vandalia Junior High School,Vandalia CUSD 203,ELEMENTARY,34.8,187.0,17.3,93.0
030262040262001,School,Ramsey Elem School,Ramsey CUSD 204,ELEMENTARY,37.4,34.0,27.5,25.0
030680020262003,School,Farmersville Elem School,Panhandle CUSD 2,ELEMENTARY,,,,
030680020262005,School,Raymond Grade School,Panhandle CUSD 2,ELEMENTARY,35.0,35.0,24.0,24.0
030680030262003,School,Beckemeyer Elem School,Hillsboro CUSD 3,ELEMENTARY,44.6,127.0,31.9,91.0
030680030262006,School,Coffeen Elem School,Hillsboro CUSD 3,ELEMENTARY,19.6,11.0,23.2,13.0
030680120262003,School,J D Colt Elem School,Litchfield CUSD 12,ELEMENTARY,25.0,21.0,33.3,28.0
030680120262004,School,Madison Park Elem School,Litchfield CUSD 12,ELEMENTARY,,,,
030680120262006,School,Russell Elem School,Litchfield CUSD 12,ELEMENTARY,35.0,70.0,18.0,36.0
